ALPHA,BETA,DEFL_1_1,DEFL_1_2,DEFL_1_3,DEFL_1_4,CLL
-7.536,7.61,-8.06,14.805,-12.908,6.365,0.0091
-5.886,7.61,-8.06,14.805,-12.908,6.365,0.0154
-4.021,7.61,-8.06,14.805,-12.908,6.365,0.0181
1.486,7.61,-8.06,14.805,-12.908,6.365,0.015
3.487,7.61,-8.06,14.805,-12.908,6.365,0.0157
4.871,7.61,-8.06,14.805,-12.908,6.365,0.0155
4.967,7.61,-8.06,14.805,-12.908,6.365,0.0155
9.956,7.61,-8.06,14.805,-12.908,6.365,0.0011
-14.834,7.28,11.33,-7.08,1.519,15.741,-0.0042
-11.361,7.28,11.33,-7.08,1.519,15.741,0.0017
-9.854,7.28,11.33,-7.08,1.519,15.741,0.004
-9.482,7.28,11.33,-7.08,1.519,15.741,0.0047
-3.892,7.28,11.33,-7.08,1.519,15.741,0.0126
-2.609,7.28,11.33,-7.08,1.519,15.741,0.0123
3.5,7.28,11.33,-7.08,1.519,15.741,0.0112
4.539,7.28,11.33,-7.08,1.519,15.741,0.0113
5.373,7.28,11.33,-7.08,1.519,15.741,0.0113
10.278,7.28,11.33,-7.08,1.519,15.741,0.0093
11.86,7.28,11.33,-7.08,1.519,15.741,0.0068
12.079,7.28,11.33,-7.08,1.519,15.741,0.0064
12.096,7.28,11.33,-7.08,1.519,15.741,0.0064
13.305,7.28,11.33,-7.08,1.519,15.741,0.0047
-14.753,7.25,0.336,-8.796,-12.918,-8.191,-0.0077
-12.133,7.25,0.336,-8.796,-12.918,-8.191,-0.0112
-11.065,7.25,0.336,-8.796,-12.918,-8.191,-0.0154
-7.169,7.25,0.336,-8.796,-12.918,-8.191,0.0006
-3.856,7.25,0.336,-8.796,-12.918,-8.191,0.0158
-3.055,7.25,0.336,-8.796,-12.918,-8.191,0.0177
-2.852,7.25,0.336,-8.796,-12.918,-8.191,0.018
-2.14,7.25,0.336,-8.796,-12.918,-8.191,0.0183
-0.597,7.25,0.336,-8.796,-12.918,-8.191,0.0176
-0.203,7.25,0.336,-8.796,-12.918,-8.191,0.0175
0.029,7.25,0.336,-8.796,-12.918,-8.191,0.0174
1.457,7.25,0.336,-8.796,-12.918,-8.191,0.0172
5.9,7.25,0.336,-8.796,-12.918,-8.191,0.0105
6.095,7.25,0.336,-8.796,-12.918,-8.191,0.0098
-14.475,-12.13,11.347,15.802,-14.101,12.127,0.0022
-14.019,-12.13,11.347,15.802,-14.101,12.127,0.0021
-6.24,-12.13,11.347,15.802,-14.101,12.127,0.0008
-4.335,-12.13,11.347,15.802,-14.101,12.127,0.001
-4.077,-12.13,11.347,15.802,-14.101,12.127,0.0011
-2.294,-12.13,11.347,15.802,-14.101,12.127,0.0018
-1.612,-12.13,11.347,15.802,-14.101,12.127,0.0021
-0.669,-12.13,11.347,15.802,-14.101,12.127,0.0024
0.477,-12.13,11.347,15.802,-14.101,12.127,0.0027
5.771,-12.13,11.347,15.802,-14.101,12.127,0.0042
6.978,-12.13,11.347,15.802,-14.101,12.127,0.0044
9.467,-12.13,11.347,15.802,-14.101,12.127,0.0031
9.915,-12.13,11.347,15.802,-14.101,12.127,0.0028
